Epoch,Time taken (sec.),Train loss,Validation accuracy,Test accuracy
1,628.3122754096985,0.41796014,0.6125138734739178,0.6324223085460599
2,544.3791010379791,0.22774823,0.6407463928967814,0.6713374028856826
3,544.3219449520111,0.7897679,0.30095033296337403,0.29144700332963375
4,544.4425058364868,41.08567,0.30095033296337403,0.29144700332963375
5,544.0687584877014,75.03067,0.30095033296337403,0.29144700332963375
6,543.6996667385101,130.05646,0.30095033296337403,0.29144700332963375
7,543.4522488117218,210.74048,0.30095033296337403,0.29144700332963375
8,544.0232348442078,318.4808,0.30095033296337403,0.29144700332963375
9,543.5507922172546,454.5586,0.30095033296337403,0.29144700332963375
10,543.3774816989899,620.83,0.30095033296337403,0.29144700332963375
11,542.6333134174347,815.2673,0.30095033296337403,0.29144700332963375
12,541.890124797821,1036.7454,0.30095033296337403,0.29144700332963375
13,542.1774160861969,1285.0371,0.30095033296337403,0.29144700332963375
14,542.3698418140411,1560.1896,0.30095033296337403,0.29144700332963375
15,541.7980341911316,1861.7913,0.30095033296337403,0.29144700332963375
16,542.3995487689972,2191.187,0.30095033296337403,0.29144700332963375
17,542.3553810119629,2547.0127,0.30095033296337403,0.29144700332963375
18,541.8486409187317,2929.855,0.30095033296337403,0.29144700332963375
19,542.2368285655975,3339.2534,0.30095033296337403,0.29144700332963375
20,542.3316521644592,3776.0864,0.30095033296337403,0.29144700332963375
